Produto;Código;Quantidade;Valor;% Individual;% Acumulado;Classificação
Carrinho Fechado Ferramentas C06 3 Gavetas Branco Fercar;C06BR;3;3273,34;0,14;94,84;B
Caixa Ferramentas Sanfonada 7 Gavetas 50x20x25 cm N09 Fercar;9;3;720;0,14;94,98;B
Carrinho Fechado Ferramentas C08 6 Gavetas Preto Cinza Fercar;C08PT;3;4136,51;0,14;95,13;C
Vaso Decorativo Plantas Antique 56 (46l) Macchiato Japi;JVAQMA56;3;1158,75;0,14;95,27;C
Massa F12 para Calafetar Madeira 400g Cerejeira Viapol;V0210675;3;72,7;0,14;95,41;C
Massa Paramadeira F-12 400G/0,225L Angelim - Viapol;V0217760;3;66;0,14;95,56;C
Padrão;F12brancafba;3;152,93;0,14;95,7;C
Chave Teste 140MM 100/500V;SKU-343577002;3;26,7;0,14;95,84;C
Vaso Decorativo Planta Tribo Japi 43x32cm 32 Preto Ardósia;JVTBPA32;3;426,54;0,14;95,99;C
Caixa Descarga Branca Elevada  Regulável 9L Astra;C17S;2;114,4;0,1;96,08;C
Astra Pet, Caixa De Areia 46,5x36x11,7cm Pet Cães Gatos Rosa;PET/CAE-RSP;2;87,99;0,1;96,18;C
Massa F12 para Calafetar Madeira 400g Jatoba;Jatobadba;2;44,42;0,1;96,27;C
Japi Floreira Flat Cachepot 57 Chumbo 6L - JFQFE57 - Uso Interno e Externo - Cantos Retos - Garantia 10 Anos;A6-PSZ7-0HCS;2;258;0,1;96,37;C
Desempenadeira Com Borracha 18cm X 30cm;DESEMPENadeira-BORRACHA-18X30-CASTOR;2;57,2;0,1;96,46;C
Comedouro Automatico  Regulavel Caes Gatosv5 Kg Fercar;COM2;2;330,55;0,1;96,56;C
Papeleira com Adesivo Branca Astra;PAPELEIRA-ADESIVA-ASTRA-BRANCA;2;80,46;0,1;96,66;C
Vaso Decor Planta Cilin Decore 33 (16l) Preto ardosia Japi;JVCDPA33;2;573,64;0,1;96,75;C
Caixa Correios Embutir 33x26x11 Cm COR2 Fercar;COR2;2;193,8;0,1;96,85;C
Caixa Ferramentas Sanfonada 3 Gavetas 20x30x17cm N03S Fercar;03S;2;242,5;0,1;96,94;C
Carrinho Fechado Ferramentas C06 3 Gavetas Azul Cinza Fercar;C06AZ;2;2389,92;0,1;97,04;C
Caixa Ferramentas Bau Reto N15 37x70x28cm Bandeja Fercar;15;2;783,84;0,1;97,13;C
Cachepot Floreira Flat Vaso Urbe 100 (119L) Cimento Queimado Japi;JFUBCQ10;2;1341,28;0,1;97,23;C
Vaso Decor Plantas Cilin Decore 33 (16l) Cimento Queim Japi;JVCDCQ33;2;535,69;0,1;97,32;C
Vaso Decor Plantas Cilin Decore 33 (16l) Off White Japi;JVCDB33;2;647,2;0,1;97,42;C
Rodízio Transparente 035mm Sem Freio Chapa Giratória Soprano;1C7Q-LKUT-YLKI;2;22,5;0,1;97,52;C
Caixa Ferramentas Sanfonada 3 Gavetas 40x20x17 Cm N04 Fercar;04;2;231,1;0,1;97,61;C
Massa para Madeira F12 400g Cumaru Viapol;V0210643;2;49,8;0,1;97,71;C
Caixa Ferramentas Sanfonada 3 Gavetas Vermelha 50x20x17cm N05 Fercar;N05;2;314;0,1;97,8;C
Carrinho Fechado Ferramentas C08 6 Gavetas Azul Cinza Fercar;C08AZ;2;2934,15;0,1;97,9;C
Carrinho Fechado Ferramentas C06 3 Gavetas Branco Fercar;C06BR;2;2419,84;0,1;97,99;C
Vaso Decorativo Plantas Antique 56 (46l) Aco Corten Japi;JVAQAC56;2;601,69;0,1;98,09;C
Camara  ar 3,5 X 8 Colson;350x8c;2;65,16;0,1;98,18;C
Jogo Cinta Catraca Amarração 25mm X 4,6m 800kg Aquatools;23050;2;84,55;0,1;98,28;C
KIT4R-SOPRÃO;KIT4R-SOPRÃO;2;90;0,1;98,38;C
Astra, Assento Sanitário Almofadado - sabatini;Sabatini;1;125,9;0,05;98,42;C
Carrinho Fechado Ferramentas C06 3 Gaveta Preto Cinza Fercar;C06PT;1;1159;0,05;98,47;C
Astra, Assento Sanitário Almofadado Thema Branco 01;1C7Q-LKUB-0PQX;1;129,9;0,05;98,52;C
Assento Pp Plus Soft Close Suite Branco 3379880010100 Incepa;1C7Q-LKV8-WWYY;1;228,02;0,05;98,57;C
Rodo Vedante Borracha Friso Porta Aluminio  70cm;ved-70;1;25;0,05;98,61;C
Suporte Shampoo Prateleiras Banheiro Sem Furo Astra Branco;AD/PS*BR;1;60,9;0,05;98,66;C
Carrinho Fechado Ferramentas C08 6 Gaveta Td Vermelho Fercar;C08TVM;1;1238,6;0,05;98,71;C
Kit 2 Vedantes Para Porta de Alumínio e Borracha Laminada 80/90/100 cm Veda Agua e Insetos - 80cm;80cm;1;45,9;0,05;98,76;C
Comedouro Automatico  Regulavel Caes Gatos 2,5 Kg Fercar;COM1;1;74,95;0,05;98,81;C
Vedante para Porta Rodo Vedador 80, 90 ou 100cm Aluminio - 80;80;1;23,9;0,05;98,85;C
Cachepot Floreira Flat Vaso 67(17l) 22x67cm Cimento Que Japi;JFQFCQ67;1;246,84;0,05;98,9;C
Caixa Organizadora 12 Gavetas  Parafusos Laranja Aquatools;16979;1;127,42;0,05;98,95;C
Assento Almofadado Avant/Fit/Versato/Angra Branco Astra Branco;TVT-K;1;137,61;0,05;99;C
Carrinho Fechado Ferramentas C06 3 Gavetas Preto Cinza Fercar Japi;C06PT;1;1159;0,05;99,04;C
Abraçadeira Fita Perfurada;1C7Q-LKWA-VXHL;1;39;0,05;99,09;C
Caixa de Descarga Elevada Branca com Volume Regulável de 6,8L a 9L Astra;CXDESFBA;1;47,9;0,05;99,14;C
Ducha Chuveirão Cascata Alumínio Capelacqua 6 Polegadas;MLB3553650977;1;135,82;0,05;99,19;C
Maçaneta Alavanca para Porta Aliança Cromada. 86617 Cor Inox;86617;1;31,12;0,05;99,24;C
Fechadura Digital T12 Bluetooth Chave Senha Preto Agl;T12-AGL;1;959,4;0,05;99,28;C
Cachepot Floreira Flat Vaso 57(6l) 15x57cm Chumbo Japi;JFQFE57;1;198,97;0,05;99,33;C
Chave Soquete Tipo T 10mm Hexagonal 25cm Aquatools;1C7Q-LKVY-UH7N;1;37,7;0,05;99,38;C
Massa P/Madeira F-12 400G/0,225L Sucupira - Viapol;M8-9W1Z-2EFT;1;22,41;0,05;99,43;C
Resistencia 3 Temperaturas 127v 5400w Enerducha Plus Up Pratimix;21049;1;33,74;0,05;99,47;C
Massa F12 para Calafetar Madeira 400g Marfim;PC-MFZR-W69S;1;23,43;0,05;99,52;C
Chave Soquete Tipo T 13mm Aquatools;1C7Q-LKVY-TGBG;1;35;0,05;99,57;C
Chave Liga/desliga/liga Margirius Csd-830 30a por Alavanca;CSD830FBA;1;124,36;0,05;99,62;C
Massa F12 para Calafetar Madeira 400g Mogno Viapol;V0210691;1;22,44;0,05;99,67;C
Carrinho Fechado Ferramentas C08 6 Gavetas Branco Fercar;C08BR;1;1462,23;0,05;99,71;C
Aquatools Kit 2 Vedantes Porta Rodo Vedador 70/80/90/100cm Alumínio;kit-vedant-100;1;45;0,05;99,76;C
Tomada Barra Multipla Régua extensão 20A Quintupla CINZA;REGUA5TOMADA;1;36,62;0,05;99,81;C
Floreira FLAT 57 Preto Ardosia;D5-DKK7-TVWT;1;154,08;0,05;99,86;C
Robust Alicate Universal 8 Polegadas, Aço Forjado, Cabo Ergonômico, Uso Profissional;QK-282I-QOIO;1;39;0,05;99,9;C
Vaso Plantas Decorativo Japi Unique 16 14x16cm Preto;VASOPLANTASJAPI;1;20,8;0,05;99,95;C
Carrinho Fechado Ferramentas C06 3 Gavetas Td Vermelho Fercar;C06TVM;1;1299;0,05;100;C
