Produto;Código;Quantidade;Valor;% Individual;% Acumulado;Classificação
Caixa Ferramentas Bau Reto N13 50x25x22 C/ Bandeja Fercar;13;8;1698,19;0,68;84,28;B
Cachepot Floreira Flat Vaso 57(6l) 15x57cm Aço Corten Japi;JFQFAC57;12;1659,52;0,66;84,94;B
Assento Sanitário Almofadado Sabatini Astra;Sabatini;12;1590,65;0,63;85,58;B
Carrinho Fechado Ferramentas C08 6 Gavetas Branco Fercar;C08BR;1;1462,23;0,58;86,16;B
Rodo Vedante Borracha Friso Porta Aluminio 100cm Vivaliz;RODOVED100;47;1426,18;0,57;86,72;B
Cachepot Floreira Flat Vaso Urbe 100 (119L) Cimento Queimado Japi;JFUBCQ10;2;1341,28;0,53;87,26;B
Carrinho Fechado Ferramentas C06 3 Gavetas Td Vermelho Fercar;C06TVM;1;1299;0,52;87,77;B
Carrinho Fechado Ferramentas C08 6 Gaveta Td Vermelho Fercar;C08TVM;1;1238,6;0,49;88,27;B
Caixa Ferramentas Sanfonada 5 Gavetas 40x20x21 Cm N06 Fercar;06;8;1223,84;0,49;88,75;B
Assento Sanitário Almofadado Avant/Fit/Versato/Angra Branco Astra;TVT/K-NOVO-2;9;1215;0,48;89,24;B
Carrinho Fechado Ferramentas C06 3 Gaveta Preto Cinza Fercar;C06PT;1;1159;0,46;89,7;B
Carrinho Fechado Ferramentas C06 3 Gavetas Preto Cinza Fercar Japi;C06PT;1;1159;0,46;90,16;B
Vaso Decorativo Plantas Antique 56 (46l) Macchiato Japi;JVAQMA56;3;1158,75;0,46;90,62;B
Caixa Descarga Branca Elevada Regulável 9L Astra;C17S;20;1141,32;0,45;91,07;B
Vaso Decorativo Plantas Antique 56 (46l) Cimento Queim Japi;JVAQCQ56;4;1055,88;0,42;91,49;B
Fechadura Digital T12 Bluetooth Chave Senha Preto Agl;T12-AGL;1;959,4;0,38;91,87;B
Caixa Ferramentas Bau Reto N15 37x70x28cm Bandeja Fercar;15;2;783,84;0,31;92,19;B
Assento Almofadado Thema Incepa/hawaii Branco Astra;TVT-THEMA;6;779,4;0,31;92,5;B
Cofrinho Infantil Segredo Senha Moedas Cédulas Fercar;178970678530;29;760,46;0,3;92,8;B
Caixa Ferramentas Sanfonada 7 Gavetas 50x20x25 cm N09 Fercar;9;3;720;0,29;93,08;B
Pote Plástico 500ml Totalplast 24 Unidade Microondas Freezer;PCT-500;26;665,16;0,26;93,35;B
Rodizio de Gel Giratório com freio 75mm rolamento Soprano;1C7Q-LKVS-MDOC;34;654,4;0,26;93,61;B
Vaso Decor Plantas Cilin Decore 33 (16l) Off White Japi;JVCDB33;2;647,2;0,26;93,87;B
Gancho/armador Rede de Embutir Inox Cromado 7323 Aliança;7323;8;627,28;0,25;94,12;B
Rodízio Transparente 035mm Freio Chapa Giratória Soprano;1C7Q-LKUU-0BA3;63;615,5;0,24;94,36;B
Vaso Decorativo Plantas Antique 56 (46l) Aco Corten Japi;JVAQAC56;2;601,69;0,24;94,6;B
Vaso Decor Planta Cilin Decore 33 (16l) Preto ardosia Japi;JVCDPA33;2;573,64;0,23;94,83;B
Comedouro Aves Pássaros com Fruteira COM4 Fercar;COM4;7;571,9;0,23;95,06;C
Assento Almofadado Branco Astra para Sanitários Avant/fit/versato/angra Astra;TVT/K;4;568;0,23;95,28;C
Assento Almofadado Branco Astra para Sanitários Avant/Fit/Versato/Angra;TVT/K;4;554;0,22;95,5;C
Vaso Decor Plantas Cilin Decore 33 (16l) Cimento Queim Japi;JVCDCQ33;2;535,69;0,21;95,72;C
Rodo Vedante Borracha Friso Porta Aluminio 80cm;ved-80-nh;20;502,79;0,2;95,92;C
RODIZIO TRANSPARENTE 50MM COM FREIO CHAPA GIRATORIO NIQUEL;03080.2050.10;44;461,12;0,18;96,1;C
Vaso Decorativo Planta Tribo Japi 43x32cm 32 Preto Ardósia;JVTBPA32;3;426,54;0,17;96,27;C
Caixa Correio Vertical Trava para Grade/Embutir COR5 Fercar;COR5;5;393,6;0,16;96,42;C
Rodo Vedante Borracha Friso Porta Aluminio 90 Cm Vivaliz;VED90UN;15;376;0,15;96,57;C
Comedouro Automatico  Regulavel Caes Gatosv5 Kg Fercar;COM2;2;330,55;0,13;96,71;C
Prateleira Shampoo Adesivo Banheiro Astra Branco;AD/PS*BR;5;316,4;0,13;96,83;C
Caixa Ferramentas Sanfonada 3 Gavetas Vermelha 50x20x17cm N05 Fercar;N05;2;314;0,12;96,96;C
Cadeado Papaiz 50mm Latão 2 Chaves Dourado;cr50;4;312;0,12;97,08;C
RODIZIO TRANSPARENTE 50MM SEM FREIO CHAPA GIRATORIO NIQUEL;03080.3050.10;32;306,76;0,12;97,2;C
Astra TPJ/AS*BR1 Assento Sanitário Soft, Branco;8M-MFX2-3HRZ;8;288,2;0,11;97,32;C
Rodizio de Gel Giratório Sem Freio 75mm Rolamento Soprano;1C7Q-LKVS-MQQN;14;258,16;0,1;97,42;C
Japi Floreira Flat Cachepot 57 Chumbo 6L - JFQFE57 - Uso Interno e Externo - Cantos Retos - Garantia 10 Anos;A6-PSZ7-0HCS;2;258;0,1;97,52;C
Cachepot Floreira Flat Vaso 67(17l) 22x67cm Cimento Que Japi;JFQFCQ67;1;246,84;0,1;97,62;C
Caixa Ferramentas Sanfonada 3 Gavetas 20x30x17cm N03S Fercar;03S;2;242,5;0,1;97,72;C
Caixa Ferramentas Sanfonada 3 Gavetas 40x20x17 Cm N04 Fercar;04;2;231,1;0,09;97,81;C
Gancho/Armador Rede De Embutir Inox  Cromado 7323 Aliança;7323;3;228,67;0,09;97,9;C
Assento Pp Plus Soft Close Suite Branco 3379880010100 Incepa;1C7Q-LKV8-WWYY;1;228,02;0,09;97,99;C
Rodo Vedante Borracha Friso Porta Aluminio 70cm Vivaliz;ved-70;9;222,9;0,09;98,08;C
Caixa Ferramentas Bau Reto N02 40x16x15 Cm Bandeja Fercar;02;3;221,1;0,09;98,17;C
Cadeado Haste Longa Latão- Papaiz 30/50;CAD-3050-FBACD;4;218,25;0,09;98,25;C
Saboneteira Comadesivo Astra Branco Fixação Rapida - Branco;ADSABBR;7;208,49;0,08;98,34;C
Cachepot Floreira Flat Vaso 57(6l) 15x57cm Chumbo Japi;JFQFE57;1;198,97;0,08;98,42;C
Massa F12 para Calafetar Madeira 400g Imbuia Viapol;V0210636;8;193,89;0,08;98,49;C
Caixa Correios Embutir 33x26x11 Cm COR2 Fercar;COR2;2;193,8;0,08;98,57;C
Rodo Vedante Borracha Friso Porta Aluminio  100cm;RODOVED100;7;177,98;0,07;98,64;C
Massa F12 para Calafetar Madeira 400g Jatoba Viapol;Jatobadba;7;174,3;0,07;98,71;C
Massa Paramadeira F-12 400G/0,225L Sucupira - Viapol;V0210680;7;174,28;0,07;98,78;C
Floreira FLAT 57 Preto Ardosia;D5-DKK7-TVWT;1;154,08;0,06;98,84;C
Padrão;F12brancafba;3;152,93;0,06;98,9;C
Massa para Calafetar Madeira F12 Ipe 400g Viapol;V0210685;6;145,25;0,06;98,96;C
Assento Almofadado Avant/Fit/Versato/Angra Branco Astra Branco;TVT-K;1;137,61;0,05;99,01;C
Ducha Chuveirão Cascata Alumínio Capelacqua 6 Polegadas;MLB3553650977;1;135,82;0,05;99,07;C
Astra, Assento Sanitário Almofadado Thema Branco 01;1C7Q-LKUB-0PQX;1;129,9;0,05;99,12;C
Caixa Organizadora 12 Gavetas  Parafusos Laranja Aquatools;16979;1;127,42;0,05;99,17;C
Astra, Assento Sanitário Almofadado - sabatini;Sabatini;1;125,9;0,05;99,22;C
Chave Liga/desliga/liga Margirius Csd-830 30a por Alavanca;CSD830FBA;1;124,36;0,05;99,27;C
Caixa Descarga Branca Elevada  Regulável 9L Astra;C17S;2;114,4;0,05;99,32;C
Massa F12 para Calafetar Madeira 400g Castanho Viapol;Castanhodba;5;112,2;0,04;99,36;C
Rodo Vedante Borracha Friso Porta Aluminio  90 Cm;VED90UN;4;100;0,04;99,4;C
Massa para Calafetar Madeira F12 Ipe 400 g Viapol com 6;1C7Q-LKUT-WROG;4;97,52;0,04;99,44;C
KIT4R-SOPRÃO;KIT4R-SOPRÃO;2;90;0,04;99,47;C
Astra Pet, Caixa De Areia 46,5x36x11,7cm Pet Cães Gatos Rosa;PET/CAE-RSP;2;87,99;0,03;99,51;C
Jogo Cinta Catraca Amarração 25mm X 4,6m 800kg Aquatools;23050;2;84,55;0,03;99,54;C
Papeleira com Adesivo Branca Astra;PAPELEIRA-ADESIVA-ASTRA-BRANCA;2;80,46;0,03;99,57;C
Comedouro Automatico  Regulavel Caes Gatos 2,5 Kg Fercar;COM1;1;74,95;0,03;99,6;C
Massa F12 para Calafetar Madeira 400g Cerejeira Viapol;V0210675;3;72,7;0,03;99,63;C
Massa Paramadeira F-12 400G/0,225L Angelim - Viapol;V0217760;3;66;0,03;99,66;C
Camara  ar 3,5 X 8 Colson;350x8c;2;65,16;0,03;99,69;C
Suporte Shampoo Prateleiras Banheiro Sem Furo Astra Branco;AD/PS*BR;1;60,9;0,02;99,71;C
Desempenadeira Com Borracha 18cm X 30cm;DESEMPENadeira-BORRACHA-18X30-CASTOR;2;57,2;0,02;99,73;C
Massa para Madeira F12 400g Cumaru Viapol;V0210643;2;49,8;0,02;99,75;C
Caixa de Descarga Elevada Branca com Volume Regulável de 6,8L a 9L Astra;CXDESFBA;1;47,9;0,02;99,77;C
Kit 2 Vedantes Para Porta de Alumínio e Borracha Laminada 80/90/100 cm Veda Agua e Insetos - 80cm;80cm;1;45,9;0,02;99,79;C
Aquatools Kit 2 Vedantes Porta Rodo Vedador 70/80/90/100cm Alumínio;kit-vedant-100;1;45;0,02;99,81;C
Massa F12 para Calafetar Madeira 400g Jatoba;Jatobadba;2;44,42;0,02;99,83;C
Abraçadeira Fita Perfurada;1C7Q-LKWA-VXHL;1;39;0,02;99,84;C
Robust Alicate Universal 8 Polegadas, Aço Forjado, Cabo Ergonômico, Uso Profissional;QK-282I-QOIO;1;39;0,02;99,86;C
Chave Soquete Tipo T 10mm Hexagonal 25cm Aquatools;1C7Q-LKVY-UH7N;1;37,7;0,01;99,87;C
Tomada Barra Multipla Régua extensão 20A Quintupla CINZA;REGUA5TOMADA;1;36,62;0,01;99,89;C
Chave Soquete Tipo T 13mm Aquatools;1C7Q-LKVY-TGBG;1;35;0,01;99,9;C
Resistencia 3 Temperaturas 127v 5400w Enerducha Plus Up Pratimix;21049;1;33,74;0,01;99,91;C
Maçaneta Alavanca para Porta Aliança Cromada. 86617 Cor Inox;86617;1;31,12;0,01;99,93;C
Chave Teste 140MM 100/500V;SKU-343577002;3;26,7;0,01;99,94;C
Rodo Vedante Borracha Friso Porta Aluminio  70cm;ved-70;1;25;0,01;99,95;C
Vedante para Porta Rodo Vedador 80, 90 ou 100cm Aluminio - 80;80;1;23,9;0,01;99,96;C
Massa F12 para Calafetar Madeira 400g Marfim;PC-MFZR-W69S;1;23,43;0,01;99,96;C
Rodízio Transparente 035mm Sem Freio Chapa Giratória Soprano;1C7Q-LKUT-YLKI;2;22,5;0,01;99,97;C
Massa F12 para Calafetar Madeira 400g Mogno Viapol;V0210691;1;22,44;0,01;99,98;C
Massa P/Madeira F-12 400G/0,225L Sucupira - Viapol;M8-9W1Z-2EFT;1;22,41;0,01;99,99;C
Vaso Plantas Decorativo Japi Unique 16 14x16cm Preto;VASOPLANTASJAPI;1;20,8;0,01;100;C
Parafuso 5x16;Parafuso5x16;96;0;0;100;C
