Produto;Código;Quantidade;Valor;% Individual;% Acumulado;Classificação
Carrinho Fechado Ferramentas C06 3 Gavetas Todo Preto Fercar;C06TPT;36;43218,88;17,19;17,19;A
Caixa Ferramentas Bau Reto N16 80x34x45cm C/ Bandeja Fercar;16;18;11126,06;4,42;21,61;A
Carrinho Fechado Ferramentas C08 6 Gavetas Vermelh Cza Fercar;C08VM;7;10180,65;4,05;25,66;A
Cachepot Floreira Flat Vaso 77(32l) 29x77cm Cimento Queimado Japi;JFQFCQ77;28;9486,08;3,77;29,43;A
Assento Sanitário Almofadado Slim Branco Astra;TAJ/AS*BR1;125;9105,72;3,62;33,05;A
Vaso Decor Plantas Cilin Decore 34 (28l) Off White Japi;JVCDB34;26;9014,06;3,58;36,64;A
Carrinho Fechado Ferramentas C08 6 Gavetas Td Vermelho Fercar;C08TVM;6;8238;3,28;39,91;A
Carrinho Fechado Ferramentas C08 6 Gavetas Todo Preto Fercar;C08TPT;5;7274,32;2,89;42,81;A
Carrinho Fechado Ferramentas C06 3 Gavetas Preto Cinza Fercar;C06PT;6;7255,8;2,89;45,69;A
Assento Sanitário Oval Universal Soft Branco Astra;TPJ/AS*BR1;159;5966,16;2,37;48,06;A
Cachepot Floreira Flat Vaso 67(17l) 22x67cm Cimento Queimado Japi;JFQFCQ67;23;5373,52;2,14;50,2;A
Carrinho Fechado Ferramentas C08 6 Gavetas Preto Cinza Fercar;C08PT;3;4136,51;1,64;51,85;A
Vaso Decorativo Plantas Antique 44 (70l) Macchiato Japi;JVAQMA44;10;3890,72;1,55;53,39;A
Caixa Ferramentas Bau Reto N00 30x13x10 c/ Bandeja Fercar;00;65;3718,77;1,48;54,87;A
Vaso Decor Plantas Cilin Decore 34 (28l) Aço Corten Japi;JVCDAC34;9;3280,82;1,3;56,18;A
Carrinho Fechado Ferramentas C06 3 Gavetas Branco Fercar;C06BR;3;3273,34;1,3;57,48;A
Comedouro Automatico Regulavel Caes Gatosv5 Kg Fercar;COM2;24;3108,72;1,24;58,71;A
Cachepot Floreira Flat Vaso 77(32l) 29x77cm Chumbo Japi;JFQFE77;8;2953,14;1,17;59,89;A
Carrinho Fechado Ferramentas C08 6 Gavetas Azul Cinza Fercar;C08AZ;2;2934,15;1,17;61,06;A
Vaso Decorativo Plantas Antique 55 (75l) Aço Corten Japi;JVAQAC55;6;2922;1,16;62,22;A
Assento Sanitário Almofadado Thema/Hawaii/Arezzon/Valentina Branco Astra;TTH-K*BCO-01;21;2898;1,15;63,37;A
Cachepot Floreira Flat Vaso 77(32l) 29x77cm Aco Corten Japi;JFQFAC77;8;2838,08;1,13;64,5;A
Cachepot Floreira Flat Vaso 67(17l) 22x67cm Aco Corten Japi;JFQFAC67;12;2692,49;1,07;65,57;A
Cachepot Floreira Flat Vaso 57(6l) 15x57cm Preto Ardosi Japi;JFQFPA57;20;2634,59;1,05;66,62;A
Cachepot Floreira Flat Vaso 57 (6l)15x57cm Cimento Quei Japi;JFQFCQ57;22;2610,45;1,04;67,66;A
Rodo Vedante Borracha Friso Porta Aluminio 80cm Vivaliz;ved-80-nh;104;2606,23;1,04;68,69;A
Caixa Ferramentas Bau Reto N14 60x30x25cm C/ Bandeja Fercar;14;8;2603,42;1,04;69,73;A
Rodizio Transparente 50MM COM Freio Chapa Giratorio Niquel Soprano;03080.2050.10;238;2583,82;1,03;70,75;A
Vaso Decorativo Plantas Antique 44 (70l) Aco Corten Japi;JVAQAC44;6;2577,5;1,02;71,78;A
Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra;A21;33;2569,98;1,02;72,8;A
Comedouro Automatico Regulavel Caes Gatos 10 Kg Fercar;COM3;13;2520,88;1;73,8;A
Carrinho Fechado Ferramentas C06 3 Gavetas Branco Fercar;C06BR;2;2419,84;0,96;74,77;A
Carrinho Fechado Ferramentas C06 3 Gavetas Azul Cinza Fercar;C06AZ;2;2389,92;0,95;75,72;A
Assento Vaso Sanitário Oval Universal Soft Astra Cor Branco;TPJ/AS*BR1;60;2277,16;0,91;76,62;A
Vaso Decorativo Plantas Antique 55 (75l) Cimento Queim Japi;JVAQCQ55;5;2156,97;0,86;77,48;A
Vaso Decor Plantas Cilin Decore 34 (28l) Cimento Queim Japi;JVCDCQ34;6;2141,32;0,85;78,33;A
Armário Ferramentas Duas Portas ARM-08 Fercar;ARM-08;4;2081,56;0,83;79,16;A
Vaso Antique 55 75L Macchiato Japi Brown;JVAQMA55;4;1967,68;0,78;79,94;A
Armário Banheiro 28.4x40.8x9.5cm Branco Porta Correr A21 Astra;A21;25;1958,37;0,78;80,72;B
Vaso Decor Plantas Cilin Decore 34 (28l) Chumbo Japi;JVCDE34;6;1941,5;0,77;81,49;B
Comedouro Automatico Regulavel Caes Gatos 2,5 Kg Fercar;COM1;24;1810,7;0,72;82,21;B
Vaso Cilíndrico Decore 34 28L Preto Ardósia Japi;JVCDPA34;6;1759,22;0,7;82,91;B
Rodizio Transparente 50MM SEM Freio Chapa Giratorio Niquel Soprano;03080.3050.10;178;1749,66;0,7;83,61;B
