sku,product_id,name,quantity,orders,revenue,estimated_cost,gross_profit,margin_percent,stock
TPJ/AS*BR1,342716910,Assento Sanitário Oval Universal Soft Branco Astra,153.0,135,5732.64,3060.0,2672.64,46.62,0.0
03080.2050.10,344671209,Rodizio Transparente 50MM COM Freio Chapa Giratorio Niquel Soprano,136.0,42,1513.64,561.68,951.96,62.89,0.0
03080.3050.10,344670767,Rodizio Transparente 50MM SEM Freio Chapa Giratorio Niquel Soprano,112.0,38,1111.74,399.84,711.9,64.03,0.0
ved-80-nh,353731878,Rodo Vedante Borracha Friso Porta Aluminio 80cm Vivaliz,62.0,41,1544.91,620.0,924.91,59.87,0.0
TAJ/AS*BR1-NOVO,341484398,Assento Sanitário Almofadado Slim Branco Astra,57.0,51,4286.35,2567.28,1719.07,40.11,0.0
00,341683965,Caixa Ferramentas Bau Reto N00 30x13x10 C/ Bandeja Fercar,52.0,44,2946.78,1536.6,1410.18,47.85,0.0
1C7Q-LKUU-0BA3,342902653,Rodízio Transparente 035mm Freio Chapa Giratória Soprano,38.0,6,364.0,118.56,245.44,67.43,0.0
A21,342849443,Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra,33.0,30,2622.7,815.43,1807.27,68.91,0.0
RODOVED100,353732039,Rodo Vedante Borracha Friso Porta Aluminio 100cm Vivaliz,22.0,14,612.78,220.0,392.78,64.1,0.0
178970678530,353732774,Cofrinho Infantil Segredo Senha Moedas Cédulas Fercar,22.0,18,605.16,219.12,386.04,63.79,0.0
TTH-K*BCO-01,360774093,Assento Sanitário Almofadado Thema/Hawaii/Arezzon/Valentina Branco Astra,21.0,20,2898.0,2099.79,798.21,27.54,0.0
JFQFCQ67,353711354,Cachepot Floreira Flat Vaso 67(17l) 22x67cm Cimento Queimado Japi,19.0,8,4403.37,2174.36,2229.01,50.62,0.0
JFQFPA57,353702017,Cachepot Floreira Flat Vaso 57(6l) 15x57cm Preto Ardosi Japi,19.0,2,2489.0,484.88,2004.12,80.52,0.0
JFQFCQ57,353701891,Cachepot Floreira Flat Vaso 57 (6l)15x57cm Cimento Quei Japi,18.0,6,2101.2,1148.4,952.8,45.35,0.0
