sku,name,quantity,revenue,quantity_rank,value_rank,abc_class,avg_price,unit_cost,stock,gross_profit,gross_margin_percent,roi10_max_cpa_total_period,category,ads_score
1C7Q-LKUU-0BA3,Rodízio Transparente 035mm Freio Chapa Giratória Soprano,63.0,615.5,8,68,A,9.77,3.12,0.0,418.94,68.06,41.89,rodizios,7.57
COM1,"Comedouro Automatico  Regulavel Caes Gatos 2,5 Kg Fercar",24.0,1810.7,121,120,A,75.45,41.14,0.0,823.34,45.47,82.33,pet,7.56
RODOVED100,Rodo Vedante Borracha Friso Porta Aluminio 100cm Vivaliz,47.0,1426.18,48,100,A,30.34,10.0,0.0,956.18,67.04,95.62,vedantes,7.48
ARM-08,Armário Ferramentas Duas Portas ARM-08 Fercar,4.0,2081.56,75,37,B,520.39,263.11,0.0,1029.12,49.44,102.91,ferramentas,7.23
ADSABBR,Saboneteira Comadesivo Astra Branco Fixação Rapida - Branco,7.0,208.49,53,96,B,29.78,1.2,0.0,200.09,95.97,20.01,outros,7.16
JFUBCQ10,Cachepot Floreira Flat Vaso Urbe 100 (119L) Cimento Queimado Japi,2.0,1341.28,100,49,C,670.64,299.79,0.0,741.7,55.3,74.17,vasos,6.97
CAD-3050-FBACD,Cadeado Haste Longa Latão- Papaiz 30/50,4.0,218.25,74,95,B,54.56,18.97,0.0,142.37,65.23,14.24,outros,6.94
15,Caixa Ferramentas Bau Reto N15 37x70x28cm Bandeja Fercar,2.0,783.84,99,60,C,391.92,154.93,0.0,473.98,60.47,47.4,ferramentas,6.93
C08AZ,Carrinho Fechado Ferramentas C08 6 Gavetas Azul Cinza Fercar,2.0,2934.15,107,19,C,1467.08,900.0,0.0,1134.15,38.65,113.42,ferramentas,6.9
JVCDE34,Vaso Decor Plantas Cilin Decore 34 (28l) Chumbo Japi,6.0,1941.5,62,40,B,323.58,174.73,0.0,893.12,46.0,89.31,vasos,6.84
TTH-K*BCO-01,Assento Sanitário Almofadado Thema/Hawaii/Arezzon/Valentina Branco Astra,21.0,2898.0,25,21,A,138.0,99.99,0.0,798.21,27.54,79.82,assentos,6.7
C06AZ,Carrinho Fechado Ferramentas C06 3 Gavetas Azul Cinza Fercar,2.0,2389.92,98,33,C,1194.96,704.95,0.0,980.02,41.01,98.0,ferramentas,6.59
1C7Q-LKUT-YLKI,Rodízio Transparente 035mm Sem Freio Chapa Giratória Soprano,2.0,22.5,103,142,C,11.25,0.78,0.0,20.94,93.07,2.09,rodizios,6.43
23050,"Jogo Cinta Catraca Amarração 25mm X 4,6m 800kg Aquatools",2.0,84.55,111,118,C,42.27,17.0,0.0,50.55,59.79,5.05,outros,6.16
COR5,Caixa Correio Vertical Trava para Grade/Embutir COR5 Fercar,5.0,393.6,65,78,B,78.72,35.89,0.0,214.15,54.41,21.42,outros,6.08
COM4,Comedouro Aves Pássaros com Fruteira COM4 Fercar,7.0,571.9,49,71,B,81.7,40.11,0.0,291.13,50.91,29.11,pet,6.01
JVCDB33,Vaso Decor Plantas Cilin Decore 33 (16l) Off White Japi,2.0,647.2,102,66,C,323.6,155.0,0.0,337.2,52.1,33.72,vasos,5.96
C06TVM,Carrinho Fechado Ferramentas C06 3 Gavetas Td Vermelho Fercar,1.0,1299.0,146,50,C,1299.0,700.0,0.0,599.0,46.11,59.9,ferramentas,5.96
CR50,Cadeado Papaiz 50mm Latão 2 Chaves Dourado,4.0,312.0,72,83,B,78.0,36.0,0.0,168.0,53.85,16.8,outros,5.9
COR2,Caixa Correios Embutir 33x26x11 Cm COR2 Fercar,2.0,193.8,96,99,C,96.9,43.08,0.0,107.64,55.54,10.76,outros,5.85
N05,Caixa Ferramentas Sanfonada 3 Gavetas Vermelha 50x20x17cm N05 Fercar,2.0,314.0,106,82,C,157.0,74.0,0.0,166.0,52.87,16.6,ferramentas,5.7
03S,Caixa Ferramentas Sanfonada 3 Gavetas 20x30x17cm N03S Fercar,2.0,242.5,97,89,C,121.25,56.38,0.0,129.74,53.5,12.97,ferramentas,5.69
7323,Gancho/Armador Rede De Embutir Inox  Cromado 7323 Aliança,8.0,627.28,77,91,B,78.41,41.97,0.0,291.52,46.47,29.15,outros,5.67
9,Caixa Ferramentas Sanfonada 7 Gavetas 50x20x25 cm N09 Fercar,3.0,720.0,80,63,B,240.0,127.0,0.0,339.0,47.08,33.9,ferramentas,5.58
178970678530,Cofrinho Infantil Segredo Senha Moedas Cédulas Fercar,29.0,760.46,16,62,A,26.22,9.96,0.0,471.62,62.02,47.16,outros,5.41
